Query,Average precision,P@10,P@20
1,0.2421894499,0.5,0.3
2,0.2408371067,0.4,0.25
3,0.7934944685,0.7,0.2
4,0.1722222222,0.2,0.15
5,0.2794486216,0.2,0.15
6,0.2899134199,0.3,0.15
7,0.2380544467,0.2,0.1
8,0.2672212846,0.3,0.2
9,0.7515337423,0.3,0.15
10,0.2180658742,0.2,0.15
11,0.4128502027,0.4,0.2
12,0.3135671185,0,0.2
13,0.2028571429,0.1,0.05
14,0.347891877,0.1,0.05
15,0.1316666667,0,0.1
16,0.1583333333,0.2,0
17,0.5091743119,0.2,0.1
18,0.3719684071,0.1,0.1
19,0.0141448579,0,0
20,0.8178162578,0.6,0.45
21,0.3469165085,0.2,0.1
22,0.0014285714,0,0
23,0.2619330205,0.1,0.35
24,0.4614985994,0.2,0.15
25,0.5506180731,0.5,0.4
26,0.1073844033,0.1,0
27,0.1179787,0.1,0.15
28,0.0064943424,0,0
29,0.3137908369,0.3,0.3
30,0.0597491432,0.1,0.05
31,0.5007142857,0,0.05
32,0.1964282312,0.1,0.1
33,0.875,0.1,0
34,0.0974271343,0.3,0.3
35,0.0376785714,0.1,0.05
36,0.0400964942,0,0.05
37,0.2319221468,0.3,0.3
38,0.0840120834,0.1,0.1
39,0.2008228157,0.3,0.25
40,0.1478977235,0.1,0.15
41,0.3660516093,0.15,0.15
42,0.2798534033,0.2,0
43,0.6111781076,0.3,0.3
44,0.0028571429,0,0
45,0.3066189136,0.3,0.2
46,0.4220349322,0.6,0.3
47,0.4657359735,0.2,0.5
48,0.3150980089,0.4,0.2
49,0.7333333333,0.2,0.15
50,0.0715219467,0,0
51,0.1877138094,0.2,0.2
52,0.8528571429,0.5,0.25
53,0.095516008,0.2,0
54,0.2724144958,0.2,0.1
55,0.2617848573,0,0.2
56,0.1812963979,0.2,0.2
57,0.2229160366,0.3,0.15
58,0.440496404,0.3,0.25
59,0.0175984432,0,0
60,0.0882260101,0.3,0.2
61,0.4039072039,0.4,0.1
62,0.022723099,0,0
63,0.019373824,0,0
64,0.2212560386,0.2,0.1
65,0.4318073659,0.4,0.15
66,0.1415028566,0.1,0.15
67,0.5519290451,0.5,0.25
68,0.1901053556,0.1,0.05
69,0.0313688645,0,0
70,0.1157677097,0.2,0.15
71,0.0704452475,0.1,0.1
72,0.0950852743,0,0.15
73,0.2958193116,0.5,0.35
74,0.0996544497,0.1,0.1
75,0.1527378156,0.2,0.1
76,0.1410999925,0.1,0.15
77,0.4925372247,0.1,0.05
78,0.1148809524,0.15,0.15
79,0.1234286324,0.2,0.1
80,0.2725757576,0.2,0
81,0.1101565102,0,0.1
82,0.3920122888,0.2,0
83,0.1072981366,0.1,0.1
84,0.2148526868,0.2,0.1
85,0.0210763499,0,0
86,0.581871345,0.2,0.1
87,0.0165217599,0,0
88,0.8736394558,0.4,0.15
89,0.1712918442,0.2,0.2
90,0.2970225135,0.4,0.05
91,0.1931260917,0.2,0.15
92,0.6694538084,0.8,0.55
93,1,0.2,0.1
94,0.2026389737,0.5,0.2
95,0.2666666667,0.3,0.15
96,0.2386657804,0.5,0
97,0.0255659302,0,0
98,0.0999745155,0.1,0.05
99,0.8007142857,0.2,0.2
100,0.299011258,0.4,0.3
101,0.2405689549,0.3,0
102,0.1171320175,0.2,0.1
103,0.1479365079,0.1,0.05
104,0.2412467112,0.1,0.1
105,0.307994228,0.2,0.15
106,0.3599705378,0.2,0.15
107,0.1907957283,0.3,0.15
108,0.6533260234,0.5,0.4
109,0.0506719615,0,0
110,0.2267170261,0.1,0.1
111,0.3637609649,0.3,0.35
112,0.2724806202,0.2,0.1
113,0.2281790191,0.1,0.05
114,0.1051854796,0.2,0.1
115,0.0220390951,0,0
116,0.1094381883,0.1,0.05
117,0.0205995013,0,0
118,0.0677754692,0.1,0.05
119,0.2201253522,0.1,0.05
120,0.5648036526,0.7,0.1
121,0.410703856,0.3,0.3
122,0.284251341,0.3,0.15
123,0.2234735798,0.1,0.1
124,0.1040090331,0.1,0.05
125,0.0794807895,0.3,0.3
126,0.0676393181,0.3,0.1
127,0.1404062777,0.2,0.15
128,0.368226601,0.1,0.05
129,0.2545566817,0.3,0.2
130,0.533452381,0.1,0.25
131,0.3220060322,0.2,0.25
132,0.6887978046,0.7,0.6
133,0.2048724461,0.1,0.25
134,0.4410569106,0.2,0.1
135,0.7092320261,0.2,0.45
136,0.3964490674,0.2,0.1
137,0.5226190476,0.3,0.2
138,0.4386574074,0.1,0.1
139,0.0303195558,0,0.05
140,0.2779832723,0.15,0.15
141,0.0374403895,0,0.05
142,0.2625,0.1,0.05
143,0.5263157895,0.2,0.1
144,0.7918167267,0.2,0.35
145,0.4843718169,0.4,0.25
146,0.8666666667,0.3,0.15
147,0.3738831807,0.3,0.15
148,0.1975418498,0.2,0.2
149,0.3847702298,0.2,0.3
150,0.8055555556,0.3,0.15
151,0.2218562391,0.1,0.1
152,0.0698517389,0.1,0.1
153,0.3158920148,0.4,0.2
154,0.3909009613,0.2,0.1
155,0.3251104101,0.3,0.2
156,0.2058540719,0.3,0.25
157,0.3522153766,0.4,0.5
158,0.2707820691,0.3,0.2
159,0.239914537,0.2,0.15
160,0.118351941,0.1,0
161,0.2925208527,0.2,0.15
162,0.1156423052,0,0.1
163,0.4474410325,0.2,0.1
164,0.2499971478,0.1,0
165,0.4111111111,0.3,0.15
166,0.1510480714,0.1,0.1
167,0.0203234266,0,0
168,0.2688548505,0.2,0.1
169,0.352145828,0.2,0.1
170,0.642141067,0.1,0.1
171,0.95,0.4,0.2
172,0.9666666667,0.5,0.25
173,1,0.3,0.15
174,0.1636049794,0.2,0.15
175,0.2419064938,0.1,0.1
176,0.1910431301,0.1,0.1
177,0.571969697,0.4,0.1
178,0.0419994364,0.1,0.05
179,0.4758059468,0.3,0
180,0.5868521062,0.4,0.15
181,0.1989070237,0.1,0.1
182,0.9166666667,0.3,0.15
183,0.0561931835,0.1,0.05
184,0.1537244909,0.1,0.15
185,0.2979761905,0.6,0.15
186,0.2274035432,0.4,0
187,0.0499656048,0.1,0.05
188,0.430941335,0.4,0.1
189,0.1974767488,0.2,0.15
190,0.1026223776,0.2,0.2
191,0.2996737536,0.7,0.25
192,0.8454545455,0.4,0.2
193,0.7551070851,0.7,0.35
194,0.2680409305,0.3,0.2
195,0.365248821,0.2,0.1
196,0.0337800457,0.1,0.05
197,0.875,0.4,0.2
198,0.2102941022,0.2,0.1
199,0.1651522382,0.1,0.1
200,0.2317982456,0.2,0.2
201,0.2888253674,0.4,0.2
202,0.3382196671,0.6,0.15
203,0.1049713611,0.1,0.1
204,0.0459555183,0,0
205,0.0392857143,0,0
206,0.1271645022,0.3,0.15
207,0.2208505007,0.1,0.2
208,0.1857142857,0.7,0.05
209,0.0311702406,0,0.05
210,0.3252932277,0.3,0.15
211,0.0950455642,0,0
212,0.4909666621,0.5,0.35
213,0.6230426285,0.7,0
214,0.363209189,0.2,0.1
215,0.3948863636,0.1,0.05
216,0.004004329,0,0
217,0.0500373354,0,0
218,0.2264160126,0.4,0.15
219,0.0221900921,0.2,0.1
220,0.0529197657,0,0.05
221,0.1273918382,0.3,0
222,0.1881609195,0.6,0.15
223,0.0083834586,0.3,0.15
224,0.1969189463,0.1,0.1
225,0.1336130835,0.4,0.2
