Query,Average precision,P@10,P@20
1,0.2310752844,0.5,0.3
2,0.2475119828,0.4,0.25
3,0.7958055982,0.7,0.4
4,0.3492063492,0.2,0.15
5,0.3041748206,0.2,0.15
6,0.2990459962,0.3,0.15
7,0.2395440497,0.2,0.1
8,0.2879818211,0.3,0.2
9,0.6517182131,0.3,0.15
10,0.1908307144,0.2,0.15
11,0.3247753522,0.4,0.2
12,0.315899797,0.2,0.2
13,0.2049815328,0.1,0..
14,0.3465617516,0.1,0.05
15,0.1196469907,0.2,0.1
16,0.0587765957,0.2,0.2
17,0.509009009,0.2,0.2
18,0.3962022367,0.2,0.1
19,0.0086986275,0,0
20,0.2549450549,0.6,0.45
21,0.363973064,0.2,0.1
22,0.0013628189,0,0
23,0.2879246477,0.5,0.5
24,0.1502237491,0.2,0.15
25,0.5375642884,0.7,0.5
26,0.0981592743,0.1,0.1
27,0.1113304094,0,0
28,0.0062513674,0,0
29,0.3274101359,0.4,0.3
30,0.0647790912,0.1,0.1
31,0.2008764242,0.1,0.05
32,0.1907435766,0.1,0.1
33,0.8611111111,0.4,0.2
34,0.4928555154,0.3,0.3
35,0.0408012728,0.05,0.05
36,0.0170239152,0,0.05
37,0.2798297585,0.3,0.3
38,0.0906421579,0.1,0.1
39,0.1844093387,0.3,0.3
40,0.1727741554,0.3,0.2
41,0.4606937603,0.2,0.15
42,0.3011675824,0.4,0.2
43,0.6247124656,0.4,0.4
44,0.002007584,0,0
45,0.329712205,0.3,0.2
46,0.4456240631,0.6,0.3
47,0.5709541468,0.5,0.5
48,0.3214473086,0.4,0.2
49,0.7083333333,0.2,0.15
50,0.0693358804,0.1,0.1
51,0.2064522216,0.2,0.2
52,0.8528571429,0.25,0.25
53,0.106502701,0.2,0.15
54,0.1822493779,0.2,0.1
55,0.2562840362,0.4,0.2
56,0.2094460887,0.2,0.2
57,0.2640108803,0.3,0.25
58,0.4596298941,0.4,0.25
59,0.01382759,0,0
60,0.2735042735,0.3,0.2
61,0.4227513228,0.2,0.2
62,0.0230487617,0,0
63,0.0208042012,0,0
64,0.2833333333,0.2,0.1
65,0.4199261669,0.6,0.5
66,0.1330953128,0.1,0.15
67,0.5445009085,0.5,0.45
68,0.2233078147,0.05,0.05
69,0.0422087068,0,0
70,0.1319375278,0.3,0.15
71,0.0972419169,0.1,0.1
72,0.1087224943,0.3,0.15
73,0.3901672998,0.4,0.35
74,0.093535539,0.1,0.1
75,0.1068432176,0.2,0.1
76,0.1116608519,0.1,0.15
77,0.4274757194,0.3,0.3
78,0.6348484848,0.2,0.15
79,0.2205217268,0.2,0.1
80,0.2768220874,0.2,0.1
81,0.1038073038,0,0.1
82,0.3645436219,0.2,0.2
83,0.0202100891,0.2,0.2
84,0.2646512483,0.2,0.1
85,0.0230922017,0,0
86,0.5277777778,0.2,0.1
87,0.0170269488,0,0
88,0.9240362812,0.7,0.5
89,0.1732933354,0.2,0.2
90,0.2852105594,0.4,0.25
91,0.225435849,0.2,0.15
92,0.1521529252,0.8,0.7
93,1,0.2,0.1
94,0.1197120333,0.5,0.4
95,0.7,0.3,0.15
96,0.477302368,0.5,0.35
97,0.0420565294,0,0
98,0.1044212273,0.1,0.05
99,0.8023094688,0.4,0.2
100,0.3050901779,0.4,0.3
101,0.7116770437,0.6,0.3
102,0.0971237784,0.2,0.1
103,0.373788177,0.1,0.05
104,0.2491337381,0.1,0.1
105,0.2689814972,0.2,0.15
106,0.2928064562,0.2,0.15
107,0.402331772,0.3,0.15
108,0.6590078416,0.5,0.4
109,0.0541001502,0,0.05
110,0.225788764,0.1,0.05
111,0.3547756636,0.4,0.35
112,0.6703431373,0.2,0.1
113,0.2190670433,0.1,0.05
114,0.3893247126,0.2,0.1
115,0.0081109701,0,0
116,0.1813645857,0.1,0.05
117,0.022195092,0,0
118,0.0701534943,0.1,0.05
119,0.5185185185,0.1,0.05
120,0.6566200398,0.7,0.35
121,0.4072084245,0.3,0.3
122,0.2533111434,0.3,0.15
123,0.2421981004,0.1,0.1
124,0.1038959674,0.1,0.05
125,0.3266331432,0.3,0.3
126,0.2837489673,0.3,0.15
127,0.1960733711,0.2,0.15
128,0.4107142857,0.1,0.05
129,0.5742257512,0.4,0.2
130,0.5387133004,0.5,0.25
131,0.332642052,0.2,0.25
132,0.7482022165,0.8,0.6
133,0.2314396121,0.1,0.25
134,0.4344827586,0.2,0.1
135,0.6953431373,0.5,0.45
136,0.293287037,0.2,0.1
137,0.5248841355,0.3,0.2
138,0.425,0.2,0.1
139,0.0267048138,0,0.05
140,0.2396189487,0.2,0.15
141,0.0353674856,0,0.05
142,0.2574074074,0.1,0.05
143,0.4097222222,0.2,0.1
144,0.7423469388,0.6,0.35
145,0.5059639284,0.4,0.25
146,0.8666666667,0.3,0.15
147,0.3624854797,0.3,0.35
148,0.3989154924,0.4,0.2
149,0.3193042507,0.5,0.3
150,0.8055555556,0.3,0.15
151,0.118753199,0.1,0.1
152,0.0889907653,0.1,0.1
153,0.4416968804,0.4,0.2
154,0.3354166667,0.2,0.1
155,0.3359835704,0.3,0.2
156,0.2299931033,0.3,0.25
157,0.365549625,0.5,0.5
158,0.3041995788,0.3,0.2
159,0.1877225898,0.2,0.15
160,0.0717017274,0.1,0.1
161,0.277861468,0.2,0.15
162,0.1125968488,0.1,0.1
163,0.4435240964,0.2,0.1
164,0.516681708,0.5,0.35
165,0.3650793651,0.3,0.15
166,0.1511934952,0.1,0.1
167,0.0203646624,0,0
168,0.5022522523,0.2,0.1
169,0.2278226745,0.2,0.15
170,0.6129002821,0.6,0.3
171,1,0.4,0.2
172,0.925,0.5,0.25
173,1,0.3,0.15
174,0.1398210792,0.2,0.15
175,0.1581076019,0.1,0.1
176,0.186106612,0.1,0.1
177,0.6581871345,0.4,0.2
178,0.0355544335,0.1,0.05
179,0.4601593417,0.3,0.15
180,0.6140503104,0.4,0.25
181,0.2056514179,0.1,0.05
182,0.9166666667,0.3,0.15
183,0.0517249839,0.1,0.05
184,0.129039483,0.1,0.15
185,0.8090384615,0.6,0.5
186,0.2303472435,0.4,0.25
187,0.0560366984,0.1,0.05
188,0.4750637218,0.4,0.25
189,0.1864127028,0.2,0.15
190,0.298015873,0.2,0.2
191,0.7376104346,0.7,0.55
192,0.8769230769,0.4,0.2
193,0.7121427395,0.7,0.35
194,0.2696545268,0.3,0.2
195,0.2719339623,0.2,0.1
196,0.0203476602,0.1,0.05
197,0.8928571429,0.4,0.2
198,0.2452380952,0.2,0.1
199,0.1757154904,0.1,0.1
200,0.3897156085,0.2,0.2
201,0.3120366281,0.4,0.25
202,0.3412737299,0.6,0.3
203,0.1149144798,0.1,0.1
204,0.0522565524,0,0
205,0.02075006,0,0
206,0.7524213075,0.3,0.15
207,0.2324057035,0.1,0.2
208,0.8976190476,0.7,0.35
209,0.0366121096,0,0.05
210,0.3380763077,0.3,0.15
211,0.0995941174,0,0
212,0.5083111824,0.5,0.35
213,0.6837575005,0.7,0.4
214,0.3641394681,0.2,0.1
215,0.4194444444,0.1,0.05
216,0.001997129,0,0
217,0.0614934704,0,0
218,0.2748038673,0.4,0.25
219,0.1208310578,0.2,0.1
220,0.0764850697,0,0.05
221,0.1641067906,0.3,0.15
222,0.7263392857,0.6,0.45
223,0.4283911218,0.3,0.15
224,0.2549522876,0.1,0.25
225,0.1437958243,0.4,0.2
