Query,Average precision,P@10,P@20
1,0.1951416538,0.4,0.3
2,0.1617277849,0.3,0.15
3,0.694023569,0.5,0.3
4,0.3277777778,0.3,0.15
5,0.1175194724,0.1,0.1
6,0.4476812195,0.2,0.15
7,0.2440556394,0.2,0.1
8,0.3114337738,0.4,0.2
9,0.2362380403,0.2,0.15
10,0.2301547963,0.2,0.15
11,0.340624929,0.4,0.2
12,0.1029678463,0.1,0.05
13,0.2026777809,0.1,0.05
14,0.3533205925,0.1,0.05
15,0.3859307359,0.1,0.1
16,0.6066433566,0.2,0.15
17,0.1773049645,0.2,0.1
18,0.3136454754,0.2,0.15
19,0.0100863407,0,0
20,0.5208641127,0.4,0.25
21,0.3045049659,0.2,0.1
22,0.0013062415,0,0
23,0.2153433632,0.4,0.3
24,0.1220211161,0.1,0.1
25,0.4258231967,0.3,0.25
26,0.0954299308,0.1,0.15
27,0.359555931,0,0
28,0.0069376611,0,0
29,0.2181891789,0.3,0.2
30,0.0898996711,0.1,0.05
31,0.5007507508,0.1,0.05
32,0.497028864,0.1,0.1
33,0.8088235294,0.3,0.2
34,0.5051329623,0.4,0.3
35,0.294877905,0.1,0.05
36,0.5243474028,0,0
37,0.1660045717,0.2,0.25
38,0.5618619363,0.1,0.05
39,0.1348198503,0.2,0.1
40,0.1479760833,0.2,0.15
41,0.1669337607,0.1,0.1
42,0.2660372195,0.3,0.15
43,0.6030952381,0.6,0.3
44,0.0020034475,0,0
45,0.2391997222,0.3,0.15
46,0.3231421804,0.4,0.3
47,0.3591212428,0.5,0.4
48,0.476136369,0.3,0.2
49,0.7380952381,0.2,0.15
50,0.1862664547,0.1,0.05
51,0.2886776159,0.3,0.2
52,0.303004329,0.2,0.1
53,0.2538788905,0,0
54,0.2099315679,0.2,0.1
55,0.2886698499,0.3,0.2
56,0.2411163166,0.3,0.15
57,0.136828652,0.2,0.15
58,0.2102844764,0.3,0.2
59,0.0065869492,0,0
60,0.4548801539,0.3,0.15
61,0.4830596606,0.3,0.15
62,0.0166016146,0,0
63,0.7135654246,0,0
64,0.2428571429,0.1,0.1
65,0.4949771427,0.7,0.4
66,0.2414557305,0.1,0.1
67,0.5253917262,0.6,0.4
68,0.0248949106,0.1,0.05
69,0.0490913389,0,0.05
70,0.0947203147,0.1,0.15
71,0.2626754735,0.2,0.1
72,0.1781090247,0.1,0.15
73,0.2987210542,0.5,0.35
74,0.0349464455,0.2,0.05
75,0.0631099672,0.2,0.1
76,0.2770970002,0.3,0.15
77,0.3836104566,0.3,0.2
78,0.4996498599,0.2,0.15
79,0.2302129692,0.2,0.1
80,0.5349834114,0.2,0.1
81,0.3153968254,0,0.1
82,0.376695726,0.2,0.15
83,0.0790833119,0.1,0.1
84,0.1596410248,0.2,0.1
85,0.0126060232,0,0
86,0.7023809524,0.2,0.1
87,0.0210445526,0,0.05
88,0.9093537415,0.7,0.35
89,0.1665376876,0.1,0.2
90,0.2660999575,0.5,0.5
91,0.2255992721,0.2,0.15
92,0.4179801637,0.4,0.4
93,0.75,0.2,0.1
94,0.4361546505,0.6,0.3
95,0.33125,0.2,0.1
96,0.2932201785,0.4,0.3
97,0.0297285328,0,0
98,0.0985229967,0.1,0.05
99,0.7613020833,0.4,0.2
100,0.1991598004,0.3,0.2
101,0.3621594641,0.3,0.2
102,0.3970911222,0.1,0.1
103,0.3425153892,0.1,0.05
104,0.2325865943,0.2,0.1
105,0.3254704566,0.3,0.2
106,0.3976830077,0.2,0.1
107,0.3895487218,0.3,0.2
108,0.4153785842,0.4,0.3
109,0.0636132302,0,0
110,0.1249126543,0.1,0.05
111,0.3016856061,0.4,0.3
112,0.5709401709,0.2,0.1
113,0.2632619822,0.1,0.1
114,0.0525762571,0,0
115,0.4098701175,0,0
116,0.8951892936,0.1,0.1
117,0.0377212113,0.1,0.05
118,0.104590687,0.1,0.1
119,0.5106382979,0.1,0.05
120,0.4393510938,0.6,0.35
121,0.191002261,0.2,0.1
122,0.2506690096,0.2,0.15
123,0.181993007,0.1,0.05
124,0.0737228695,0.1,0.05
125,0.1521334525,0.7,0.4
126,0.2219668984,0.2,0.2
127,0.3075653595,0.3,0.15
128,0.5188346883,0.1,0.05
129,0.2858828564,0.2,0.1
130,0.4703977376,0.5,0.3
131,0.3084602922,0.2,0.2
132,0.5998996102,0.6,0.5
133,0.7403989423,0,0.15
134,0.4731182796,0.2,0.1
135,0.633365156,0.5,0.4
136,0.102916537,0.1,0.1
137,0.48893066,0.3,0.2
138,0.4244306418,0.1,0.1
139,0.0247910081,0,0.05
140,0.2181030077,0.1,0.1
141,0.0452166662,0,0.05
142,0.5166666667,0.1,0.05
143,0.5166666667,0.2,0.15
144,0.5309669449,0.4,0.2
145,0.4505459649,0.6,0.2
146,0.5925925926,0.2,0.1
147,0.2824593752,0.3,0.25
148,0.2530627532,0.2,0.15
149,0.3234334139,0.4,0.25
150,1,0.3,0.15
151,0.191846748,0.1,0.05
152,0.0727450992,0.1,0.1
153,0.1114996039,0.1,0.05
154,0.3914998549,0.2,0.1
155,0.2673879755,0.2,0.2
156,0.2550425469,0.3,0.3
157,0.3164349112,0.7,0.55
158,0.2930098677,0.2,0.15
159,0.1773868262,0.3,0.1
160,0.0811768478,0.1,0.05
161,0.2714709798,0.2,0.2
162,0.1542475736,0,0.15
163,0.3094563176,0.2,0.1
164,0.2588483281,0.3,0.15
165,0.34,0.2,0.1
166,0.1466373997,0.1,0.1
167,0.0110284959,0,0
168,0.2271973466,0.1,0.1
169,0.5228843737,0.3,0.15
170,0.5183862434,0.5,0.25
171,0.9166666667,0.5,0.2
172,0.6842857143,0.6,0.25
173,0.9166666667,0.4,0.15
174,0.0736317488,0.3,0.05
175,0.11323666,0.1,0.1
176,0.1179927778,0.2,0.15
177,0.5758980785,0.6,0.2
178,0.0381877818,0,0
179,0.1392348041,0.1,0.05
180,0.5852187165,0.4,0.3
181,0.2042866157,0.1,0.05
182,0.7575757576,0.2,0.15
183,0.0474324641,0.1,0.05
184,0.2252440083,0.3,0.2
185,0.7729411765,0.7,0.45
186,0.1420283046,0.5,0.2
187,0.077426974,0.1,0.1
188,0.4266567806,0.7,0.35
189,0.10371882,0.2,0.15
190,0.359345968,0.4,0.2
191,0.7216411982,0.8,0.55
192,0.4880952381,0.3,0.2
193,0.5696623094,0.5,0.35
194,0.3128262438,0.3,0.25
195,0.1882601351,0.3,0.1
196,0.0134193844,0,0
197,0.7884615385,0.4,0.15
198,0.241038961,0.2,0.15
199,0.1258102483,0.1,0.15
200,0.1425287356,0.3,0.1
201,0.1962736302,0.5,0.25
202,0.3369080756,0.5,0.3
203,0.1033062789,0.1,0.05
204,0.0357792478,0,0.05
205,0.0358577367,0,0
206,0.1094927267,0.3,0.05
207,0.1800459042,0.2,0.15
208,0.6126794258,0.4,0.3
209,0.0374827681,0,0
210,0.4157390229,0.5,0.15
211,0.1113399503,0.1,0.1
212,0.5310230439,0.8,0.4
213,0.5252047085,0.6,0.35
214,0.2976511103,0.2,0.15
215,0.1067939456,0.2,0.05
216,0.004423367,0,0
217,0.0334528725,0,0
218,0.2272063369,0.4,0.25
219,0.0587397866,0.1,0.1
220,0.0492623656,0.1,0.1
221,0.0431102603,0.1,0.05
222,0.7075183706,0.7,0.45
223,0.4305128205,0.3,0.15
224,0.2718436642,0.5,0.25
225,0.143258057,0.4,0.2
