Query,Average precision,P@10,P@20
1,0.2439999264,0.5,0.3
2,0.2432764514,0.4,0.25
3,0.7934944685,0.7,0.4
4,0.4722222222,0.2,0.15
5,0.2794486216,0.2,0.15
6,0.2899134199,0.3,0.15
7,0.2380544467,0.2,0.1
8,0.2672212846,0.3,0.2
9,0.7515455951,0.3,0.15
10,0.2179592075,0.2,0.15
11,0.4128502027,0.4,0.2
12,0.3135671185,0.2,0.2
13,0.2043183591,0.1,0.05
14,0.347891877,0.1,0.05
15,0.1360544218,0.2,0.1
16,0.5583333333,0.2,0.15
17,0.5091743119,0.2,0.1
18,0.3719684071,0.2,0.1
19,0.0142521902,0,0
20,0.8178162578,0.6,0.45
21,0.3469165085,0.2,0.1
22,0.0012829177,0,0
23,0.2762551288,0.5,0.35
24,0.461523412,0.2,0.15
25,0.5506180731,0.5,0.4
26,0.1073844033,0.1,0.1
27,0.1179787,0.1,0.15
28,0.0064943424,0,0
29,0.3572738586,0.4,0.3
30,0.0600953029,0.1,0.05
31,0.5008628128,0.1,0.05
32,0.1970055995,0.1,0.1
33,0.875,0.4,0.2
34,0.3974271343,0.3,0.3
35,0.0385935701,0.1,0.05
36,0.0400964942,0,0.05
37,0.2343680132,0.3,0.3
38,0.0850387324,0.1,0.1
39,0.2033860136,0.3,0.25
40,0.1527185291,0.3,0.15
41,0.3660516093,0.2,0.15
42,0.2891773524,0.4,0.2
43,0.6111781076,0.4,0.3
44,0.0019044935,0,0
45,0.3066189136,0.3,0.2
46,0.4222612421,0.6,0.3
47,0.4658881805,0.6,0.5
48,0.3153746529,0.4,0.2
49,0.4513888889,0.2,0.15
50,0.0715219467,0.1,0.45
51,0.1876435303,0.2,0.2
52,0.8528571429,0.5,0.25
53,0.0957792014,0.2,0.15
54,0.2724401329,0.2,0.1
55,0.2617093986,0.4,0.5
56,0.2813272301,0.2,0.2
57,0.2231845824,0.3,0.25
58,0.4405107025,0.4,0.25
59,0.0176587654,0,0
60,0.4914104095,0.3,0.2
61,0.4039299881,0.4,0.2
62,0.0227115397,0,0
63,0.019373824,0,0
64,0.2212560386,0.2,0.5
65,0.4317340759,0.6,0.35
66,0.1436396088,0.1,0.15
67,0.5519317999,0.7,0.45
68,0.1909782576,0.1,0.05
69,0.0313688645,0,0.3
70,0.1157805062,0.3,0.15
71,0.0709942145,0.1,0.1
72,0.0953418624,0.3,0.15
73,0.2958193116,0.5,0.35
74,0.0996544497,0.1,0.1
75,0.1527378156,0.2,0.1
76,0.1412204314,0.1,0.15
77,0.4952844774,0.3,0.25
78,0.5148809524,0.2,0.15
79,0.1234286324,0.2,0.1
80,0.2729638483,0.2,0.1
81,0.1101565102,0,0.1
82,0.3920122888,0.2,0.1
83,0.1073369867,0.2,0.4
84,0.2151226531,0.2,0.1
85,0.0211876627,0,0
86,0.581871345,0.2,0.1
87,0.016753548,0,0
88,0.8736394558,0.7,0.35
89,0.1712002691,0.2,0.2
90,0.297310936,0.4,0.25
91,0.1938276498,0.2,0.15
92,0.6694538084,0.8,0.55
93,1,0.2,0.45
94,0.5026389737,0.5,0.4
95,0.6666666667,0.3,0.15
96,0.4388742443,0.5,0.35
97,0.0305412989,0,0
98,0.1000366273,0.1,0.05
99,0.8012019231,0.4,0.2
100,0.2995548339,0.4,0.3
101,0.7406267851,0.6,0.3
102,0.1172032778,0.2,0.1
103,0.3505555556,0.1,0.05
104,0.2412383472,0.1,0.1
105,0.3093417477,0.2,0.15
106,0.3626376287,0.2,0.15
107,0.3907957283,0.3,0.15
108,0.6533260234,0.5,0.4
109,0.050815998,0,0.05
110,0.2267381651,0.1,0.05
111,0.4176435407,0.4,0.35
112,0.6725146199,0.2,0.1
113,0.2280863779,0.1,0.05
114,0.3051854796,0.2,0.1
115,0.0221380712,0.5,0.1
116,0.1794381883,0.1,0.05
117,0.0206019636,0,0
118,0.0677754692,0.1,0.05
119,0.5222222222,0.1,0.05
120,0.5648036526,0.7,0.55
121,0.4143574127,0.3,0.3
122,0.284252299,0.3,0.15
123,0.2235042735,0.1,0.1
124,0.1040078676,0.1,0.05
125,0.2795108339,0.3,0.3
126,0.1365826125,0.3,0.15
127,0.1404062777,0.2,0.15
128,0.368226601,0.1,0.05
129,0.5545719439,0.4,0.2
130,0.5335972018,0.5,0.25
131,0.3220060322,0.2,0.25
132,0.6872126597,0.8,0.6
133,0.2048724461,0.1,0.5
134,0.4429824561,0.2,0.1
135,0.7092320261,0.5,0.45
136,0.3964490674,0.2,0.1
137,0.525,0.3,0.2
138,0.4386574074,0.2,0.1
139,0.0303225966,0,0.05
140,0.2779832723,0.2,0.15
141,0.0374646416,0,0.05
142,0.2625,0.1,0.1
143,0.5263157895,0.2,0.1
144,0.7918167267,0.6,0.35
145,0.4843718169,0.4,0.25
146,0.8666666667,0.3,0.15
147,0.3732346306,0.3,0.35
148,0.5122540101,0.4,0.2
149,0.3850691153,0.5,0.3
150,0.8055555556,0.3,0.15
151,0.2218562391,0.1,0.1
152,0.0698517389,0.1,0.1
153,0.4190614599,0.4,0.2
154,0.3909297052,0.2,0.1
155,0.3261394292,0.3,0.2
156,0.2113374341,0.3,0.25
157,0.3522349016,0.5,0.5
158,0.2730022374,0.3,0.2
159,0.2401143281,0.2,0.15
160,0.1188258163,0.1,0.1
161,0.2948756408,0.2,0.15
162,0.1159359392,0.1,0.1
163,0.4474410325,0.2,0.1
164,0.5499971478,0.5,0.35
165,0.4111111111,0.3,0.15
166,0.1510480714,0.1,0.1
167,0.0203234266,0,0
168,0.4688548505,0.2,0.1
169,0.3517624357,0.2,0.15
170,0.6421603884,0.6,0.3
171,0.95,0.4,0.2
172,0.9666666667,0.5,0.25
173,1,0.3,0.15
174,0.1636049794,0.2,0.15
175,0.2419064938,0.1,0.1
176,0.1910462461,0.1,0.1
177,0.571969697,0.4,0.2
178,0.0419994364,0.1,0.05
179,0.4758280922,0.3,0.15
180,0.589634324,0.4,0.25
181,0.1998681823,0.1,0.05
182,0.9166666667,0.3,0.15
183,0.058251937,0.1,0.05
184,0.1538067277,0.1,0.15
185,0.7979761905,0.6,0.5
186,0.2276555932,0.4,0.25
187,0.050173556,0.1,0.05
188,0.4309610007,0.4,0.25
189,0.1979067353,0.2,0.15
190,0.3897041063,0.2,0.2
191,0.7032513133,0.7,0.55
192,0.8454545455,0.4,0.2
193,0.743843564,0.7,0.35
194,0.2680409305,0.3,0.2
195,0.365302916,0.2,0.1
196,0.0337625233,0.1,0.05
197,0.875,0.4,0.2
198,0.2108478121,0.2,0.1
199,0.1664416313,0.1,0.1
200,0.5317982456,0.2,0.2
201,0.2910324185,0.4,0.25
202,0.3383177291,0.6,0.3
203,0.1054070856,0.1,0.1
204,0.0463205031,0,0
205,0.0392857143,0,0
206,0.4271645022,0.3,0.15
207,0.2209381396,0.1,0.2
208,0.8857142857,0.7,0.35
209,0.0312270846,0,0.05
210,0.3252932277,0.3,0.15
211,0.0949659337,0,0
212,0.4953781416,0.5,0.35
213,0.6230987389,0.7,0.4
214,0.363209189,0.2,0.1
215,0.3948863636,0.1,0.05
216,0.004004329,0,0
217,0.0501994739,0,0
218,0.2264160126,0.4,0.25
219,0.1221931185,0.2,0.1
220,0.0529197651,0,0.05
221,0.1274383346,0.3,0.15
222,0.6882945736,0.6,0.45
223,0.5083834586,0.3,0.15
224,0.3942138793,0.1,0.25
225,0.1350537103,0.4,0.2
